error_model,level,mean_kappa_lost,seed,evaluation,group,cell_type,n_cells,metric,value,ceiling_value
neuron_removal,0.0,0.0,44,held_out,observed,all,2500,activity_r2,0.9869213464734578,0.9998987787282803
neuron_removal,0.0,0.0,44,held_out,observed,all,2500,fluctuation_r2,0.9770042896270752,0.9965047836303711
neuron_removal,0.0,0.0,44,held_out,unobserved,all,2500,activity_r2,0.9890697909802895,0.9999280613774816
neuron_removal,0.0,0.0,44,held_out,unobserved,all,2500,fluctuation_r2,0.9790369272232056,0.9966070652008057
neuron_removal,0.0,0.0,44,perturbation,unobserved,excitatory,2003,delta_activity_r2,0.9939245779413931,0.9993396584592613
neuron_removal,0.0,0.0,44,perturbation,unobserved,excitatory,2003,delta_fluctuation_r2,0.9615604281425476,0.9916563630104065
neuron_removal,0.0,0.0,44,perturbation,unobserved,inhibitory,373,delta_activity_r2,0.9831425955778255,0.9993146360140089
neuron_removal,0.0,0.0,44,perturbation,unobserved,inhibitory,373,delta_fluctuation_r2,0.9497366547584534,0.9927361607551575
neuron_removal,0.0,0.0,44,perturbation,targeted,inhibitory,124,delta_activity_r2,0.9845831617348068,0.9997619566864163
neuron_removal,0.0,0.0,44,perturbation,targeted,inhibitory,124,delta_fluctuation_r2,0.9571144580841064,0.9941699504852295
synapse_dropout,0.0,0.0,44,held_out,observed,all,2500,activity_r2,0.9869213464734578,0.9998987787282803
synapse_dropout,0.0,0.0,44,held_out,observed,all,2500,fluctuation_r2,0.9770042896270752,0.9965047836303711
synapse_dropout,0.0,0.0,44,held_out,unobserved,all,2500,activity_r2,0.9890697909802895,0.9999280613774816
synapse_dropout,0.0,0.0,44,held_out,unobserved,all,2500,fluctuation_r2,0.9790369272232056,0.9966070652008057
synapse_dropout,0.0,0.0,44,perturbation,unobserved,excitatory,2003,delta_activity_r2,0.9939245779413931,0.9993396584592613
synapse_dropout,0.0,0.0,44,perturbation,unobserved,excitatory,2003,delta_fluctuation_r2,0.9615604281425476,0.9916563630104065
synapse_dropout,0.0,0.0,44,perturbation,unobserved,inhibitory,373,delta_activity_r2,0.9831425955778255,0.9993146360140089
synapse_dropout,0.0,0.0,44,perturbation,unobserved,inhibitory,373,delta_fluctuation_r2,0.9497366547584534,0.9927361607551575
synapse_dropout,0.0,0.0,44,perturbation,targeted,inhibitory,124,delta_activity_r2,0.9845831617348068,0.9997619566864163
synapse_dropout,0.0,0.0,44,perturbation,targeted,inhibitory,124,delta_fluctuation_r2,0.9571144580841064,0.9941699504852295
